timestamp,tweet,username
Wed Oct 31 06:54:50 +0000 2018,"Menurut Presiden @jokowi keterampilan dan spesialisasi adalah penting untuk kita tunjukkan, bahwa kita tidak kalah… https://t.co/jKPEeeHMQp",KemenPU
Wed Oct 31 06:54:48 +0000 2018,"RT @NurmaTgr: Trimakasih pak presiden , di bawah kepemimipanan mu slm 4thn lbh bnyk membawa perubahan  , mari teman 2 kita hantar 1x lg jok…",90_Ch4n
Wed Oct 31 06:54:48 +0000 2018,@kompascom apa namanya klu tak kampanya. Menyatakan diri presiden yg mendengar rakyat dan mengratiskan sramadu.dsn menafikan presiden tdhulu,1234_zamris
Wed Oct 31 06:54:47 +0000 2018,RT @iloveyouIPOH: Pakai pulak bas Penang. Bodoh bodoh bodoh. Bodoh punya presiden pafa. Bodoh !!! https://t.co/tBvy8II1OV,wankumuk
Wed Oct 31 06:54:46 +0000 2018,"@jokowi semangat pak presiden, semoga tambah sehat dan hidupnya borokah #2019pilihjokowi #2019tetapJokowi",AzkaYusuf8
Wed Oct 31 06:54:43 +0000 2018,"RT @ASapardan: Buat sobat"" di Madura, Surabaya dan Sekirarnya,

Pak @SBYudhoyono
Mempertanyakan kebijakan Jembatan Suramadu yg digratiskan…",Among79
Wed Oct 31 06:54:40 +0000 2018,"RT @ApriliaLin: Sekedar mengingatkan

1. Suriah semenjak 2009 ada #2011 ganti presiden bergema

2. Membangun kebencian terhadap pemerintaha…",ismidewiputri
Wed Oct 31 06:54:38 +0000 2018,"RT @fitriaugustin: Sedih aja sama orang² indonesia akhir² ini.
Kalian lgi pda kenapa sih. Dikit² tersulut emosi. Dikit² penistaan agama. Ka…",faisal_S97
Wed Oct 31 06:54:37 +0000 2018,"RT @MY_Fussball: Nampak gaya penyokong The Bos Gaurus bengang gila dengan Presiden baru PAFA yang lebih sudu dari kuah, Piala Malaysia dita…",MdZarullal_
Wed Oct 31 06:54:34 +0000 2018,"RT @setkabgoid: Presiden @jokowi membuka Pameran Konstruksi Indonesia 2018 dan Indonesia Infrastructure Week 2018, serta Percepatan Sertifi…",valencia_amara
Wed Oct 31 06:54:34 +0000 2018,RT @RachlanNashidik: Masak urusan begini ke Presiden? Kelewatan. https://t.co/PdWE95xwXM,yuldedi
Wed Oct 31 06:54:32 +0000 2018,"RT @CakKhum: PLN Catat Rugi Rp 18 Triliun

Kalau enggak rugi ya tekor, kemarin BPJS sekarang PLN

Jangan sampai Pak Jokowi tau ya, masak ur…",thamzah33
Wed Oct 31 06:54:31 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,_shrh
Wed Oct 31 06:54:30 +0000 2018,"Di saat penyokong Perak kecewa dengan presiden PAFA, ada juga musibat yang backup atas dasar ""politik"".",wankumuk
Wed Oct 31 06:54:30 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,luqmxn_f
Wed Oct 31 06:54:23 +0000 2018,"Lumayan nih pisang buatan anak presiden @kaesangp. Marketing lewat twitter emang paling ampuh, ya? Lsg laku keras p… https://t.co/g0zzHyf8CV",ohithessa
Wed Oct 31 06:54:14 +0000 2018,RT @maspiyuuu: Ribuan Warga Korban Gempa Lombok Demonstrasi Tagih Janji-Janji Presiden Jokowi https://t.co/GeOmPzAn2e https://t.co/5aSslYsE…,eko1820
Wed Oct 31 06:54:13 +0000 2018,RT @apiqmael: Terengganu boleh memenangi Piala Malaysia 2018. Tetapi sengaja Terengganu kalah dan biarkan Perak menang supaya kamu semua me…,ikhwnhfz
Wed Oct 31 06:54:12 +0000 2018,RT @HermyRahim: Piala malaysia di guna kan berarak kehulu kehilir macama nama piala tu “piala presiden PAFA” kepala bapak dia. Lepas tu ala…,fairyeality
Wed Oct 31 06:54:12 +0000 2018,"RT @ekowBoy: Ya Allah.. Bangsaku..
Permasalahan seperti ini jangan sampai ke meja presiden, kebangetan!! 

Beliau sedang sibuk menyusun jan…",pak_afif
Wed Oct 31 06:54:11 +0000 2018,"@NurmaTgr Tujuan mereka cuma satu, melengserkan Presiden @jokowi dr kursi RI-1. Sebelum itu tercapai, isue sebiji k… https://t.co/h19EKGfJjt",januryanur1226
Wed Oct 31 06:54:10 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,ammrirfn
Wed Oct 31 06:54:08 +0000 2018,RT @Hdad_Amor: PRIOSTÍA | Continúan las labores de montaje del altar con motivo de la Misa Estacional del próximo domingo. Desde ayer nuest…,AndaCulturalPro
Wed Oct 31 06:54:07 +0000 2018,@ILC_tvOnenews @karniilyas Klu sy staff ahli presiden dh dpt info - sy otak bd dgn yg hdir.etc,MasyaAllah9
Wed Oct 31 06:54:04 +0000 2018,RT @Ferdinand_Haean: Buat bapak ngga mahal krn pake APBN. Seorang presiden hidupnua ditanggung olh APBN https://t.co/uYINqA6jLH,XTaty_Sq
Wed Oct 31 06:54:01 +0000 2018,"Opa Perez orang bisnis 😂. Bisnis hanyalah soal uang.
Perez dari dulu emang ga suka Ronaldo. Transfer Ronaldo dari M… https://t.co/hkBrOnftJW",josareo
Wed Oct 31 06:53:54 +0000 2018,"RT @wahyususilo: Beberapa catatan penting, capaian dan kritik tentang kinerja 4 tahun Presiden @jokowi untuk janji menghadirkan negara dala…",M_Fairoussaniy
Wed Oct 31 06:53:54 +0000 2018,"Tempe Khot News:
""PDIP:wajah presiden lucu kaya gini ko dibilang otoriter""

Hitler juga lucu buktinya dia otoriter… https://t.co/MNNEw2iPKN",maulinaantika
